"","Constituency","Candidate","election","total_stops","courtesy_call","rally","interaction","official_business"
"365","New Juaben North","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"366","New Juaben South","John Mahama",2016,1,0,0,1,0
"367","New Juaben South","John Mahama",2020,1,1,0,0,0
"368","New Juaben South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"369","New Juaben South","Nana Addo Dankwa Akuffo Addo",2020,4,1,1,0,2
"370","Nhyiaeso","Nana Addo Dankwa Akuffo Addo",2020,3,0,1,1,1
"371","Ningo Prampram","John Mahama",2020,1,0,0,1,0
"372","Ningo Prampram","Nana Addo Dankwa Akuffo Addo",2016,2,0,1,1,0
"373","Ningo Prampram","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"374","Nkawkaw","John Mahama",2020,1,0,0,1,0
"375","Nkawkaw","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"376","Nkawkaw","Nana Addo Dankwa Akuffo Addo",2020,2,0,1,1,0
"377","Nkoranza South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"378","Nkoranza South","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"379","Nkwanta North","John Mahama",2020,1,0,0,1,0
"380","Nkwanta North","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"381","Nkwanta South","John Mahama",2016,1,0,1,0,0
"382","Nkwanta South","John Mahama",2020,2,0,0,2,0
"383","Nkwanta South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"384","North Dayi","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"385","North East","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"386","Nsawam Adoagyiri","John Mahama",2020,1,0,1,0,0
"387","Nsawam Adoagyiri","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"388","Nsawam Adoagyiri","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"389","Nsuta Kwamang","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"390","Obuasi East","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"391","Obuasi West","John Mahama",2016,1,0,0,1,0
"392","Obuasi West","John Mahama",2020,1,0,0,1,0
"393","Obuasi West","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"394","Obuasi West","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,1,1
"395","Odododiodioo","John Mahama",2020,4,0,4,0,0
"396","Odododiodioo","Nana Addo Dankwa Akuffo Addo",2016,5,0,5,0,0
"397","Odododiodioo","Nana Addo Dankwa Akuffo Addo",2020,7,1,3,3,0
"398","Odotobiri","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"399","Offinso North","John Mahama",2020,1,0,0,1,0
"400","Offinso North","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"401","Offinso South","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"402","Ofoase Ayirebi","John Mahama",2020,1,0,1,0,0
"403","Ofoase Ayirebi","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"404","Ofoase Ayirebi","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"405","Oforikrom","John Mahama",2020,2,1,0,1,0
"406","Oforikrom","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"407","Oforikrom","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"408","Okaikwei Central","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"409","Okaikwei Central","Nana Addo Dankwa Akuffo Addo",2020,2,0,0,2,0
"410","Okaikwei North","John Mahama",2020,1,0,1,0,0
"411","Okaikwei North","Nana Addo Dankwa Akuffo Addo",2016,3,0,1,2,0
"412","Okaikwei North","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"413","Okaikwei South","John Mahama",2016,3,0,3,0,0
"414","Okaikwei South","John Mahama",2020,2,0,2,0,0
